#{"t_start": 1613304210.0108323, "env_id": "PyOmnibase-v0"}
r,l,t
6.873,652,82.484749
9.56,350,128.727709
-11.082,757,246.653913
-7.094,499,318.659176
-165.68,1000,483.190631
-122.565,1000,664.232511
-151.475,1000,838.463125
-102.92,1000,1037.954621
-136.87,1000,1214.360184
-140.19,1000,1387.967848
-149.63,1000,1557.209007
-160.72,1000,1726.474796
-164.19,1000,1906.082947
-154.865,1000,2057.954523
-138.74,1000,2218.361769
-137.445,1000,2383.845232
-126.955,1000,2549.475296
-135.315,1000,2733.275337
-99.7,1000,2896.487624
-109.715,1000,3057.287531
-76.21,1000,3227.258117
-57.57,1000,3401.355908
-57.64,1000,3580.731652
-106.955,1000,3738.694392
-81.52,1000,3905.29821
-70.96,1000,4076.918089
16.06,410,4165.216827
-103.3,1000,4337.185332
-85.065,1000,4510.387589
-127.53,1000,4676.858746
-89.86,1000,4842.955995
-59.92,1000,5001.558738
-50.33,1000,5155.532676
-114.46,1000,5329.994611
