#{"t_start": 1635452962.7337685, "env_id": "NavOmnibase-v1"}
r,l,t
-11.597485,1000,20.569501
-27.763221,1000,38.148628
-11.907801,1000,55.791744
-55.912141,1000,73.634214
-49.761262,1000,100.029224
9.245294,429,109.214377
7.188101,582,121.145273
-5.910763,1000,139.739968
5.86404,889,156.437824
-6.663729,1000,188.599738
-4.980152,1000,203.750606
-42.044424,1000,253.704402
6.753395,499,327.852291
-4.896492,1000,351.652179
3.41717,920,512.94759
-23.048979,1000,529.38519
6.739298,679,619.691956
-5.467793,1000,636.527755
-3.823903,1000,1675.014288
-4.939946,1000,1692.565099
6.640139,691,1795.880677
-35.59681,1000,1813.325633
-5.132919,1000,2937.121152
-5.324278,1000,2953.288824
-6.445096,1000,2971.914379
6.696234,880,3082.948765
-9.806075,1000,3101.241664
-5.967135,1000,3126.805502
5.324538,943,3254.374686
-5.516276,1000,3272.068648
6.692262,726,3368.301392
-4.659855,1000,3392.908243
-41.082839,1000,3517.698354
-5.43176,1000,3534.477947
-5.5923,1000,3553.228618
-5.283348,1000,3578.076752
-4.149369,1000,3716.248387
-5.549123,1000,3735.736763
-4.378856,1000,3873.103235
-6.248628,1000,3899.964648
8.810191,243,3939.414724
-11.867611,1000,3959.472442
8.61372,241,3992.251589
-57.086759,1000,4011.469682
8.926294,320,4099.343625
8.391038,406,4160.884799
9.067157,444,4234.006181
8.35598,765,4257.695085
7.280302,657,4356.406016
8.087175,591,4449.091182
7.490102,600,4535.803527
-22.800271,1000,4556.713099
-4.48703,1000,4586.382168
6.7767,858,4708.770784
-6.280947,1000,4730.967496
7.079421,810,4853.058698
-9.258851,1000,4882.953974
-4.532396,1000,5033.525477
-3.913649,1000,5267.567753
-5.196346,1000,5289.539243
6.228069,956,5429.975057
-4.205455,1000,5460.934594
-4.31542,1000,5616.007499
-4.622551,1000,5638.801102
-3.769694,1000,5781.539283
-4.495336,1000,5812.358758
-5.191985,1000,5837.133063
7.208521,794,5941.753462
-3.932757,1000,6153.488161
-11.482555,1000,6881.904823
-4.60569,1000,6908.631733
-3.845676,1000,7046.011114
-5.272241,1000,7072.034338
-4.415149,1000,7887.550738
-4.634393,1000,7912.531795
6.197933,911,8047.265478
6.034148,974,8190.199055
-4.914729,1000,8221.330415
-8.237376,1000,8396.089465
-4.009834,1000,8622.451026
-4.328633,1000,8766.850048
-3.273047,1000,9648.026881
-4.526033,1000,9671.921633
-4.907433,1000,9697.169686
-6.708969,1000,9723.299746
6.49235,931,9854.023042
-24.561338,1000,10707.514685
-12.260446,1000,10732.166696
9.001145,417,10860.082562
9.033196,207,10894.328616
-12.19423,1000,10922.082906
8.722746,202,10961.229973
-28.95621,1000,10995.479805
-4.404563,1000,11021.593096
9.171089,349,11082.528718
-6.220862,1000,11110.507815
-24.319489,1000,11136.741529
-28.561459,1000,11938.929482
-4.449401,1000,11967.367897
8.59056,382,12028.384135
2.247706,904,12052.977324
9.456756,346,12109.130322
-3.226517,1000,13010.315966
8.410758,548,13088.321326
7.542897,640,13182.395874
-4.80298,1000,13211.545314
-4.212067,1000,13239.642483
-4.893756,1000,14817.208694
-4.4964,1000,14843.451174
8.277392,531,14923.160765
7.496725,571,15010.469156
4.79122,882,15147.092296
-4.52447,1000,15183.043259
6.657961,858,15311.269753
9.132124,475,15495.624669
6.325392,912,15620.501009
6.01721,930,15750.338006
-4.849954,1000,15790.327705
7.360291,762,15888.915814
-28.340887,1000,15919.894492
-10.45768,1000,15947.799381
9.236537,183,15984.690355
-17.25001,1000,16019.453084
8.96415,182,16058.772641
9.207859,217,16099.878957
-7.438615,1000,16130.770276
-62.759364,1000,16162.02636
6.873785,852,16304.338178
8.120312,513,16420.665212
-8.118203,1000,16461.677314
7.566974,498,16550.843917
-4.258518,1000,16581.066786
8.343955,540,16666.284801
-7.926481,1000,16696.942769
7.799926,705,16732.121196
-68.655341,1000,16762.782223
5.555868,748,16950.825205
-3.765297,1000,16984.865085
7.832574,641,17088.351506
-22.512981,1000,17126.279427
8.491849,660,17332.392599
-3.686646,1000,17358.225917
8.307516,594,17443.76537
-4.239238,1000,17480.667541
7.480793,838,17602.827572
6.634615,975,17752.840728
-4.083865,1000,17784.860195
7.160698,808,17905.632196
-13.123668,1000,17945.038915
8.716293,274,18023.729968
8.504735,272,18075.147678
-22.417983,1000,18105.361681
9.281264,196,18150.554517
-7.944562,1000,18326.016683
9.09027,391,18388.990321
7.638754,624,18426.899722
9.29988,343,18489.977769
-3.661943,1000,18524.043224
7.809961,559,18618.161888
-3.136901,1000,18648.2808
8.023244,604,18750.460227
-7.523225,1000,18792.179429
5.821024,671,18888.153808
-3.331794,1000,18926.86137
7.298825,709,19035.103053
-3.885963,1000,19070.783103
-4.545809,1000,20014.96408
8.197714,641,20102.062443
5.984421,792,20228.288782
-7.699991,1000,20263.256102
-3.977985,1000,21047.88187
-8.404541,1000,21084.170719
-23.617215,1000,21114.812693
7.423528,652,21217.641347
-4.292274,1000,21250.948118
-5.235241,1000,22036.503585
-3.988207,1000,22068.772199
5.719447,933,22296.186947
7.285946,764,22400.995422
-12.111446,1000,22440.772615
9.318468,197,22486.240626
10.001782,178,22530.821409
-7.551525,344,22585.158887
-6.884235,1000,22618.27442
9.038399,374,22685.087667
8.491221,579,22714.111545
-11.245849,1000,22760.949473
8.734902,386,22831.751355
8.538734,437,22900.781178
-4.23907,1000,22937.358477
8.375971,486,23023.505801
8.183961,524,23108.255557
-29.51759,1000,23152.281649
-20.942327,1000,23323.915261
6.928748,722,23432.30032
-3.500591,1000,23463.897509
-31.800957,1000,23503.184943
-9.301113,1000,24194.583421
-7.140487,1000,24227.219642
-13.235846,1000,24262.987597
-7.995929,1000,24301.583165
-19.968324,1000,24342.413049
7.808083,629,24440.180658
-3.861636,1000,24478.855705
-30.775924,1000,24597.270982
7.752839,744,24710.667088
-4.414926,1000,25472.270066
-19.483117,1000,25510.599694
5.975749,922,25654.939014
