#{"t_start": 1636139558.1240962, "env_id": "NavOmnibase-v1"}
r,l,t
-61.399875,1000,18.59361
-60.890638,1000,39.866369
-68.165178,1000,305.438663
-71.248832,1000,321.5612
-65.699592,1000,350.124806
-70.811266,1000,368.11518
-69.712777,1000,390.362687
9.337198,273,396.825624
-65.861246,1000,424.720173
-64.933,1000,441.711449
-62.214793,1000,463.939046
-63.788319,1000,481.205303
-68.826231,1000,503.064924
-59.786519,1000,1929.495216
-57.644093,1000,1948.328188
-43.274449,1000,1969.023042
-42.506026,1000,1993.572062
-71.316395,1000,2021.142553
-38.601371,1000,2040.040743
-64.0663,1000,2064.693367
-46.442064,1000,2085.252537
-40.005563,1000,2112.942274
-36.128435,1000,2138.768668
-70.951346,1000,2162.008869
-65.456814,1000,2188.255944
-76.756672,1000,2215.775492
-67.762559,1000,2240.605759
-65.702612,1000,2264.331391
-70.147764,1000,2291.252475
-82.51815,1000,2320.936761
-70.424816,1000,2348.113979
-44.844827,1000,2371.579504
-46.229581,1000,2399.624985
-52.036648,1000,2430.386735
-44.871638,1000,2453.083854
-60.883914,1000,2481.182272
-34.367506,1000,2512.92447
-70.021682,1000,2542.356266
-34.374035,1000,2568.057996
-36.153753,1000,2591.721828
-36.498561,1000,2622.192175
-31.63855,1000,3836.8786
-23.260111,1000,3863.75083
-37.156563,1000,3889.961888
-29.958171,1000,3916.129409
-22.983682,1000,3951.704738
-26.253044,1000,4178.699296
-40.501938,1000,4205.940951
-35.239211,1000,4234.278537
-25.910357,1000,4273.70525
-30.97699,1000,4299.865572
-34.944784,1000,4327.81202
-22.192837,1000,4551.755483
-29.368422,1000,4587.558722
-26.949598,1000,4618.20858
-36.379714,1000,4652.204712
-21.065689,1000,4868.020239
-26.620233,1000,4897.423205
-66.087664,1000,4937.354617
-22.888581,1000,5149.354725
-17.416202,1000,5176.705074
-14.803109,1000,5207.763352
-84.017493,1000,5245.536891
-23.35602,1000,5281.622505
-31.205858,1000,5313.406184
-23.641994,1000,5349.919067
-21.223462,1000,5389.159842
-23.575042,1000,5428.597247
-23.691748,1000,5647.360944
-19.25394,1000,5681.980463
-19.596339,1000,5725.733751
-54.774425,1000,5757.005886
-18.873809,1000,5791.331376
-24.603594,1000,5822.760596
-22.49617,1000,5863.84599
-53.631841,1000,5895.703883
-17.533184,1000,5932.135575
-21.075992,1000,5964.60034
-14.99277,1000,6009.682784
-22.664592,1000,6046.696684
-15.086563,1000,6086.698867
-25.443834,1000,6124.613664
-15.683395,1000,6171.344333
-28.005229,1000,6208.493354
-21.30237,1000,6247.047418
-24.238551,1000,6282.244294
-17.073256,1000,6329.05099
-22.648989,1000,6543.401243
-25.199665,1000,6577.555433
-47.775409,1000,6613.672761
-22.861797,1000,6656.366297
-29.92383,1000,6697.9555
-36.629389,1000,6735.085938
-19.640802,1000,6774.889798
-16.295759,1000,6818.781295
-25.337763,1000,6857.62594
-75.275824,1000,6894.796378
-28.227722,1000,6940.514364
-16.603959,1000,6980.375158
-16.182867,1000,7031.791569
-17.119874,1000,7070.765722
-17.478172,1000,7113.778086
-20.787669,1000,7157.917886
-24.398032,1000,7203.323265
-26.019116,1000,7240.757603
-43.925712,1000,7281.094563
-23.44089,1000,7509.758832
-21.221337,1000,7552.830531
-70.583642,1000,7592.693663
-27.867606,1000,7632.616639
-36.649604,1000,7674.337862
-18.698126,1000,7728.295894
-33.649799,1000,7769.741144
-18.370342,1000,7815.962754
-20.969314,1000,7863.525071
-16.677762,1000,7925.076737
-47.358669,1000,7966.399328
-24.937267,1000,8009.574657
-28.160599,1000,8219.985429
-47.159363,1000,8268.647355
-69.984499,1000,8499.474241
-50.19024,1000,8542.852184
-17.553531,1000,8578.92319
-19.168514,1000,8634.574252
-22.013073,1000,8832.948913
-71.509948,1000,8871.512068
-25.801706,1000,8919.797499
-10.624123,1000,8968.755893
-59.610051,1000,9010.922579
-16.243778,1000,9060.132475
-18.980425,1000,9106.023021
-13.899785,1000,9156.765499
-18.07765,1000,9203.063864
-16.329887,1000,9249.752133
-16.615263,1000,9296.099503
-15.51125,1000,9350.249445
-14.444816,1000,9395.732229
-13.270571,1000,9444.183686
-9.794143,1000,9494.557517
-39.887219,1000,9553.58909
-53.087113,1000,9770.734678
-43.91598,1000,9815.491243
-11.778997,1000,9865.633369
-18.92464,1000,10099.533177
-17.169083,1000,10156.519553
-22.695945,1000,10207.449375
-8.92144,1000,10257.945735
-50.659276,1000,10306.740699
-14.193429,1000,10355.190396
-47.369395,1000,10406.468215
-22.0863,1000,10457.412481
-13.895641,1000,10505.286705
-11.872965,1000,10564.631577
-57.454328,1000,10782.513548
-10.143271,1000,10834.547537
-13.582334,1000,10891.672432
-16.232111,1000,10940.7907
-25.846565,1000,11001.4803
-24.242907,1000,11055.451848
-36.00604,1000,11103.972844
-56.683989,1000,12072.075876
-27.560898,1000,12127.483519
-72.095445,1000,12185.28481
-50.634017,1000,12217.05261
-31.606803,1000,12273.819234
-21.514897,1000,12328.169631
-7.821257,1000,12381.993324
-23.345064,1000,12598.364716
-56.547922,1000,12655.372632
-36.173453,1000,12708.996315
-17.5392,1000,12924.180371
-21.693436,1000,12976.093589
-10.887634,1000,13041.771518
-14.802975,1000,13101.29459
-12.378255,1000,13161.186321
-18.543939,1000,13385.020273
-29.442602,1000,13443.728317
-19.290091,1000,13495.138307
-10.549241,1000,13550.155579
-10.815055,1000,13602.824275
-14.63745,1000,13662.699494
-17.799564,1000,13718.367135
-13.605085,1000,13765.982567
-19.035343,1000,13825.827645
-49.153906,1000,13874.186526
-38.750084,1000,13929.123399
-17.284072,1000,13983.604303
-16.478775,1000,14031.069619
