#{"t_start": 1641579881.6334016, "env_id": "NavOmnibase-v1"}
r,l,t
-4.18804,1000,20.221596
-5.509854,1000,36.308956
-4.412033,1000,52.592121
-2.413797,1000,69.297471
-6.75501,1000,94.134164
-6.458684,1000,111.143826
-4.600509,1000,128.002834
-4.030275,1000,144.977365
-5.313963,1000,170.100482
-4.122327,1000,187.794768
-5.438227,1000,205.549657
-5.591093,1000,223.072874
-5.846564,1000,248.693529
-5.924046,1000,266.818055
-5.755427,1000,283.996234
-5.440887,1000,301.149884
-3.858127,1000,325.953003
-3.267094,1000,344.119072
-5.103085,1000,363.266099
-11.965462,1000,380.313997
-6.372988,1000,405.262566
-6.399954,1000,424.343334
-5.357073,1000,442.117947
-5.687621,1000,461.339016
-24.90648,1000,486.741624
-6.256732,1000,506.311047
-7.770309,1000,524.952968
-6.452923,1000,544.898906
-16.317457,1000,571.101333
-3.638324,1000,590.059968
-6.571267,1000,609.715553
-7.795452,1000,629.930728
-22.944086,1000,654.917018
-6.532762,1000,675.206353
-7.500186,1000,696.875268
-7.155119,1000,718.747178
-5.85522,1000,745.237781
-23.047179,1000,765.365653
-23.882224,1000,785.622379
-6.208138,1000,807.281775
-6.564294,1000,834.317029
-22.593657,1000,856.812749
-9.30236,1000,880.173403
-5.677881,1000,901.485341
-22.932175,1000,923.835129
-15.724515,1000,953.295821
-8.844757,1000,975.921465
-7.433717,1000,1002.561262
-5.970481,1000,1021.323226
-5.492173,1000,1054.612416
-6.612057,1000,1084.600412
-40.040075,1000,1113.032456
-6.288111,1000,1141.572546
-7.667878,1000,1177.193069
-6.276808,1000,1204.541461
-6.932498,1000,1232.362497
-5.010774,1000,1262.339794
-19.654041,1000,1297.910097
-6.372851,1000,1327.233679
-19.010697,1000,1359.247742
-6.899397,1000,1389.950211
-16.272982,1000,1425.930805
-12.441923,1000,1451.84031
-26.727233,1000,1482.781876
-46.545728,1000,1515.043752
-26.739444,1000,1552.671854
-6.150467,1000,1584.683572
-30.2453,1000,1617.108999
-8.958273,1000,1648.604629
-6.528854,1000,1686.727494
-18.49093,1000,1718.404418
-5.333597,1000,1751.733711
-14.508109,1000,1785.093408
-6.590089,1000,1823.738934
-5.138273,1000,1854.235794
-6.216013,1000,1887.626562
-10.806554,1000,1920.181067
-8.639518,1000,1960.209534
-6.198934,1000,1993.742215
-5.861695,1000,2031.337832
-4.591387,1000,2071.300313
-6.12942,1000,2115.895132
-5.825028,1000,2153.122528
-7.514733,1000,2191.218431
-5.414317,1000,2231.750249
-6.448948,1000,2267.778984
-5.806312,1000,2315.274104
-7.801097,1000,2353.523867
-22.207876,1000,2392.94064
-21.490821,1000,2428.634847
-6.518144,1000,2470.736463
-5.546491,1000,2508.682242
-35.953145,1000,2542.969873
-18.756768,1000,2581.185929
-33.838695,1000,2621.403451
-41.20413,1000,2657.939736
-5.400764,1000,2697.191573
-6.597484,1000,2735.414156
-7.409186,1000,2777.210167
-6.474213,1000,2815.139558
-7.189204,1000,2855.168547
-7.133212,1000,2894.036552
-17.917774,1000,2939.324536
-6.792876,1000,2977.311721
-7.41122,1000,3014.446087
-7.809063,1000,3053.225196
-6.965895,1000,3099.347263
-41.147081,1000,3145.376269
-6.792307,1000,3185.824994
-5.005426,1000,3226.843987
-7.374311,1000,3277.89981
-59.383475,1000,3317.143701
-19.056412,1000,3359.818785
-11.113222,1000,3401.997333
-5.232513,1000,3446.107694
-7.670562,1000,3483.129788
-19.404579,1000,3524.335549
-17.282213,1000,3564.475647
-22.014771,1000,3616.477273
-6.170131,1000,3659.722513
-3.871296,1000,3701.843209
-7.593424,1000,3746.066877
-5.643627,1000,3795.930526
-7.367662,1000,3834.718027
-7.230895,1000,3876.837275
-6.38631,1000,3920.327536
-6.461777,1000,3969.286725
-6.86631,1000,4016.620007
-8.839529,1000,4063.365346
-23.829808,1000,4110.42887
-15.329201,1000,4154.204527
-36.423571,1000,4205.399105
-6.980717,1000,4248.191828
-6.750537,1000,4297.71517
-9.961121,1000,4346.241405
-27.042154,1000,4402.412132
-25.100738,1000,4442.659806
-7.134018,1000,4493.877703
-5.859226,1000,4546.722059
-12.989613,1000,4604.121288
-6.406203,1000,4648.451118
-4.998588,1000,4695.148143
-8.385938,1000,4741.020445
-6.522009,1000,4788.012033
-6.566628,1000,4838.228812
-5.977486,1000,4882.03849
-7.21365,1000,4927.51364
-6.199559,1000,4981.367429
-7.205944,1000,5031.124749
-4.8369,1000,5077.907027
-7.144647,1000,5120.438726
-6.793156,1000,5175.043032
-6.405226,1000,5226.361843
-5.065664,1000,5275.99654
-7.69161,1000,5327.772366
-28.422266,1000,5385.461438
-7.724586,1000,5438.238334
-7.450569,1000,5486.635758
-41.653154,1000,5534.235729
-37.255908,1000,5587.115216
-7.822784,1000,5636.586869
-13.745784,1000,5687.650198
-23.777041,1000,5739.806794
-11.538678,1000,5801.674801
-24.485866,1000,5854.346175
-12.971147,1000,5902.203717
-5.238099,1000,5955.178148
-42.123779,1000,6012.656339
-19.565679,1000,6072.526543
-16.336319,1000,6123.326222
-15.189295,1000,6176.150599
-9.363399,1000,6229.952607
-28.377214,1000,6290.673268
-6.274105,1000,6343.876229
-27.111155,1000,6402.475167
-11.359755,1000,6450.382797
-6.248786,1000,6510.102255
-6.270685,1000,6565.305273
