#{"t_start": 1642953108.831864, "env_id": "NavOmnibase-v1"}
r,l,t
-203.019692,939,14.524381
-25.882963,1000,33.248834
-369.375623,1000,48.621925
-310.378982,1000,69.222482
-44.560649,1000,1260.893565
-201.440139,1000,1278.051777
-370.772958,1000,1298.572733
-467.185265,1000,1313.622504
-549.073337,1000,1336.637113
-345.21734,1000,1351.422765
-260.289983,1000,1369.298693
-424.780305,1000,1386.430044
-338.045326,1000,1411.78298
-494.896579,1000,1431.830301
-257.95002,1000,1452.392453
-511.269197,1000,1470.426592
-569.844573,1000,1496.11464
-173.805066,1000,1513.156151
-182.242083,1000,1531.01655
-122.034056,1000,1548.582598
-39.236478,1000,1573.008745
-334.943674,1000,1590.795469
-109.272361,1000,1611.234803
-345.826697,1000,1633.22062
-250.26558,1000,1656.046188
-142.400915,1000,1675.572032
-138.732971,1000,1697.920222
-154.362249,1000,1718.977744
-182.789576,1000,1744.5832
-108.105471,1000,1764.433599
-398.024071,1000,1787.803541
-348.102642,1000,1804.843346
-327.340785,1000,1829.579156
-507.350154,1000,1848.762074
-591.612059,1000,1871.960423
-114.918856,1000,1892.933087
-10.91574,1000,1918.308655
-386.381145,1000,1936.757399
-100.808785,1000,1959.534364
-65.127969,1000,1978.757093
-174.001822,1000,2000.876916
-149.037536,1000,2023.412483
-237.975082,1000,2046.196127
-86.083872,1000,2190.074444
-61.697914,1000,2209.895399
-275.110388,1000,2237.377329
-120.493403,1000,2257.548293
-470.002299,1000,2278.941817
-34.74914,1000,2409.709951
-98.962677,1000,2433.214418
-24.678768,1000,2453.054738
-339.273834,1000,2475.918981
-505.627608,1000,2493.972425
-191.543305,1000,2518.521437
-164.912933,1000,2655.146878
-63.778415,1000,2673.807447
-501.377772,1000,2696.24553
-532.040922,1000,3520.611643
-229.070946,1000,3540.681049
-99.948385,1000,3562.055764
-500.632842,1000,3584.080988
-196.609405,1000,3611.595817
-363.028706,1000,3632.903265
-201.115396,1000,3656.857365
-98.063562,1000,3678.703554
-143.696066,1000,3705.351982
-141.063574,1000,3726.302075
-188.80906,1000,3750.776818
-128.212347,1000,3771.110664
-215.44404,1000,3796.501855
-165.160416,1000,3817.934376
-65.103031,1000,3844.507417
-71.498777,1000,3978.839911
-136.267712,1000,4003.923852
-237.68494,1000,4027.317126
-217.923845,1000,4049.93683
-134.412639,1000,4073.068405
-159.552795,1000,4098.881445
-136.415336,1000,4122.98475
-81.584665,1000,4254.039399
-99.39054,1000,4276.408612
-211.800416,1000,4303.24379
-182.547222,1000,4326.690474
-75.391271,1000,4458.425933
-42.386089,1000,4478.90474
-73.5464,1000,4502.307551
-195.989311,1000,4533.043196
-394.716618,1000,4556.232477
-456.814588,1000,4578.327129
-285.170038,1000,4601.695125
-10.605257,534,4622.285004
-79.998601,1000,4735.352484
-187.544541,1000,4756.703573
-530.96981,1000,4783.071513
-261.627092,1000,4809.482313
-226.251039,1000,4836.434957
-381.827724,1000,4858.697314
-496.65492,1000,4882.679183
-31.978213,1000,4911.643016
-548.968277,1000,4940.495979
-552.020194,1000,4964.915333
-578.302787,1000,4993.063742
-2.345049,1000,5021.076219
-163.519665,1000,5047.873608
-329.824184,1000,5073.25273
-413.753223,1000,5099.928119
-611.337873,1000,5121.856446
-484.023095,1000,5151.581462
-34.076359,1000,5176.042386
-80.756017,1000,5205.109708
-502.831079,1000,5232.939429
-22.88261,1000,5261.669775
-86.905482,1000,5288.067135
-440.640284,1000,5314.330444
-175.621413,1000,5342.200331
-505.244017,1000,5373.700789
-118.20784,1000,5400.432369
-48.253414,1000,5429.579525
-418.582473,1000,5454.760796
-351.049301,1000,5488.618408
-468.211971,1000,5514.311275
-549.09878,1000,5540.182091
-79.153626,1000,5684.073919
-225.077703,1000,5714.7716
-132.997813,675,5736.481174
-161.466363,1000,5764.374426
-480.093465,1000,5795.82027
-393.236478,1000,5828.598677
-581.446381,1000,5857.945555
-468.982052,1000,5881.682713
-308.750071,1000,5910.998261
-500.214136,1000,5941.269571
-349.567648,1000,5971.225095
-408.706911,1000,6124.272288
-452.61014,1000,6152.604556
-480.531512,1000,6271.471017
-71.356599,1000,6301.738833
-411.609445,1000,6330.018888
-573.86035,1000,6363.014046
-134.81127,1000,6393.052094
-288.884113,1000,6426.239998
-382.663181,1000,6579.0161
-391.588552,1000,6607.757674
-374.839429,1000,6637.319155
-344.412037,1000,6672.324132
-485.339498,1000,6813.683931
-425.664409,1000,6839.679217
-417.113823,1000,6868.552524
-336.959444,1000,6903.423014
-364.17914,1000,7058.554389
-174.982125,1000,7086.072778
-426.593077,1000,7113.066332
-346.257286,1000,7148.613543
-137.035536,1000,7177.190454
-412.569361,1000,7208.613728
-292.577602,1000,7357.205085
-348.052141,1000,7385.57396
-231.556353,1000,7410.652792
-336.078151,1000,7432.521875
-267.641825,1000,7459.241475
-212.225373,1000,7489.699602
-355.623025,1000,7518.247566
-456.288357,1000,7545.201981
-313.986278,1000,7573.232635
-235.873158,1000,7604.780723
-466.248539,1000,7635.969089
-445.191499,1000,7753.287006
-222.491145,1000,7780.69976
-433.855939,1000,7812.101614
-322.162189,1000,7837.230614
-356.229971,1000,7865.881011
-212.1615,1000,7897.166156
-429.276835,1000,7927.224056
-445.23216,1000,7952.650003
-88.151919,1000,7976.382661
-266.938295,1000,8002.014244
-310.447272,1000,8031.889443
-378.944407,1000,8057.759067
-478.044354,1000,8085.2672
-219.299486,1000,8114.307249
-454.175971,1000,8141.213712
-297.302657,1000,8172.156221
-419.694511,1000,8198.060677
-256.432119,1000,8226.429878
-174.54503,1000,8254.052867
-125.020493,1000,8286.112475
-328.739177,1000,8310.145179
-431.626804,1000,8334.573476
-374.650798,1000,8359.607759
-501.96055,1000,8390.960824
-81.697679,1000,8416.477694
-288.560854,1000,8442.585082
-479.356515,1000,8466.945585
-390.472395,1000,8498.705008
-110.09979,1000,8525.323328
-334.867876,1000,8551.127905
-225.028801,1000,8576.444894
-223.68432,1000,8608.632092
-387.832738,1000,8634.747553
-158.115286,1000,8664.002407
-31.431944,1000,8690.977067
-303.252072,1000,8724.499643
-437.909427,1000,8755.66638
-68.128847,1000,8784.897784
-255.405885,1000,8810.049966
-249.655985,1000,8848.870844
-100.275697,1000,8997.800632
-216.123683,1000,9030.122034
-480.750573,1000,9160.137927
-332.548124,1000,9199.187147
-209.515825,1000,9333.340318
-259.498919,1000,9367.562776
-351.214735,1000,9406.700384
-206.782354,1000,10188.138487
-466.584135,1000,10221.269905
-380.403706,1000,10252.925514
-26.439964,1000,10289.834733
-338.926404,1000,10326.748363
-457.32446,1000,10362.062462
