#{"t_start": 1648846689.6527812, "env_id": "NavOmnibase-v1"}
r,l,t
-247.352366,1000,20.983552
-359.140274,1000,38.313384
-415.674822,1000,55.880641
-512.766508,1000,266.166712
-597.708053,1000,289.717997
-227.324143,1000,307.39984
-398.318125,1000,329.508434
-387.427572,1000,528.511915
-576.641349,1000,553.622916
-606.119466,1000,570.962626
-213.93248,1000,591.227737
-347.17227,1000,611.569269
-403.990495,1000,636.098607
-604.586844,1000,654.087674
-188.663315,1000,676.66308
-374.463868,1000,696.397396
-594.954203,1000,722.914834
-159.735921,1000,744.01408
-325.167008,1000,762.487073
-598.35863,1000,780.278464
-182.36899,1000,808.185919
-360.561072,1000,996.714174
-483.314267,1000,1016.047482
-599.929977,1000,1218.252762
-163.044317,1000,1245.284706
-375.24588,1000,1267.136942
-455.509322,1000,1289.841443
-594.436627,1000,1486.071162
-157.716918,1000,1512.832373
-366.111618,1000,1532.585561
-492.929889,1000,1555.001504
-599.244304,1000,1578.176581
-146.25349,1000,1605.672874
-351.81118,1000,1626.59581
-537.887726,1000,1646.572724
-599.05839,1000,1668.86897
-162.045159,1000,1695.704424
-380.403647,1000,1719.122866
-538.787008,1000,1739.471499
-601.879683,1000,1761.280069
-129.693898,1000,1790.270816
-419.446707,1000,1812.685982
-530.628723,1000,1994.790514
-604.278145,1000,2014.925618
-130.985158,1000,2036.265859
-418.006624,1000,2064.074722
-535.526702,1000,2086.547933
-600.443277,1000,2108.949657
-179.35825,1000,2320.863238
-335.932456,1000,2350.270888
-460.209228,1000,2550.009972
-600.668678,1000,2572.366612
-139.137318,1000,2597.988004
-381.89348,1000,2628.373204
-435.931215,1000,2651.071684
-604.526221,1000,2673.18659
-150.769979,1000,2698.199664
-428.562549,1000,2729.714821
-485.765443,1000,2752.145816
-604.146813,1000,2775.266271
-108.80729,1000,2798.142313
-405.839554,1000,2830.862386
-475.77425,1000,2854.027511
-598.365597,1000,2879.285043
-130.273279,1000,2902.54209
-344.873346,1000,4016.339104
-447.015746,1000,4041.153148
-591.106535,1000,4207.679637
-52.434448,1000,4232.703973
-411.15643,1000,4262.833366
-488.519816,1000,4289.514258
-603.136272,1000,4312.502491
-35.922201,1000,4338.312342
-337.069764,1000,5266.080331
-462.72584,1000,5290.879829
-566.173584,1000,5316.117207
-603.32849,1000,5339.539964
-101.135462,1000,5371.110398
-427.91601,1000,5394.658435
-457.596345,1000,5588.622855
-543.107706,1000,5614.465343
-599.620822,1000,5649.549161
-252.815767,1000,5675.399882
-352.315992,1000,5700.569626
-431.177684,1000,5729.164595
-599.556229,1000,5757.878176
-254.253773,1000,5789.843935
-368.875681,1000,5817.064676
-474.222013,1000,5995.925528
-526.954678,1000,6022.064607
-493.591933,1000,6055.709881
-600.373501,1000,6081.607967
-227.070716,1000,6109.410119
-333.953557,1000,6135.621458
-475.215962,1000,6167.858131
-602.042535,1000,6195.29212
-245.249878,1000,6220.816708
-335.776196,1000,6249.237212
-482.844769,1000,6281.483755
-507.051675,1000,6308.223631
