#{"t_start": 1647984110.044061, "env_id": "NavOmnibase-v1"}
r,l,t
-181.526601,1000,19.661346
-287.803908,1000,38.273857
-530.526379,1000,57.607299
-602.844111,1000,74.174886
-282.193662,1000,98.054271
-497.875384,1000,114.867565
-86.763441,859,130.348795
-415.161822,1000,147.355618
-498.845615,1000,175.251426
-133.938665,1000,194.135864
-406.944025,1000,213.12543
-593.299006,1000,449.353583
-214.657295,1000,473.914211
-424.479964,1000,495.241798
-539.284628,1000,513.601506
-596.629402,1000,531.973013
-144.990323,1000,557.982287
-370.238885,1000,577.587682
-155.392865,1000,596.226877
-386.459933,1000,616.097566
-480.601331,1000,642.881912
-593.642134,1000,663.106029
-332.724038,1000,684.094845
-581.893325,1000,704.079543
-555.219511,1000,730.901839
-271.980315,1000,930.407976
-230.642719,1000,952.973588
-289.859528,1000,1180.337643
-374.959327,1000,1209.98828
-547.277905,1000,1233.098412
-257.940535,1000,1454.295856
-362.267587,1000,1477.22846
-319.16824,1000,1506.519652
-507.359277,1000,1531.165125
-498.176965,1000,1555.144546
-387.108003,1000,1583.070338
-424.903099,1000,1605.238018
-391.851732,1000,1634.733091
-264.647483,1000,1659.02864
-488.253373,1000,1684.557733
-576.584421,1000,1708.997852
-194.355033,1000,1741.405355
-363.43032,1000,1765.940449
-444.401133,1000,1792.337847
-480.904268,1000,1818.165507
-380.409628,1000,1850.508403
-194.537531,1000,1875.304136
-416.800743,1000,1901.305501
-577.853769,1000,2123.286757
-198.035432,1000,2156.767602
-342.709801,1000,2184.534156
-513.13867,1000,2211.057585
-576.098601,1000,2236.14664
-246.577882,1000,2272.530907
-325.831572,1000,2299.233735
-483.527639,1000,2329.536394
-584.03724,1000,2547.777545
-259.321145,1000,2584.391565
-314.791586,1000,2613.877753
-551.065632,1000,2644.344311
-562.021679,1000,2672.283335
-342.649381,1000,2706.884997
-441.839177,1000,2736.525971
-357.375826,1000,2764.714928
-172.863569,1000,2797.005677
-299.720321,1000,3799.999655
-449.531958,1000,3831.323389
-517.532835,1000,3863.530637
-420.20351,1000,3892.835443
-242.625864,1000,3931.06517
-404.727801,1000,4131.346757
-318.046528,1000,4162.584109
-470.932451,1000,4191.640824
-215.251606,1000,4233.157026
-326.271987,1000,4266.714074
-354.218852,1000,4471.213888
-371.32526,1000,4506.800104
-153.052176,1000,4548.459012
-339.564743,1000,4580.397339
-360.943675,1000,4612.200224
-412.79948,1000,4643.493468
-465.598119,1000,4847.429551
-442.241047,1000,4885.11245
-108.544143,1000,4915.715353
-268.641415,1000,4949.812879
-434.278702,1000,4982.540614
-142.275339,1000,5957.003744
-478.355587,1000,5992.920327
-385.791007,1000,6221.614332
-425.138578,1000,6254.901037
