#{"t_start": 1649176041.808542, "env_id": "NavOmnibase-v1"}
r,l,t
-191.895793,1000,21.09465
-324.057766,1000,39.658807
-522.802441,1000,57.495668
-604.589646,1000,74.537429
-134.132006,1000,101.222404
-412.77352,1000,418.652034
-599.507974,1000,437.11044
-232.136024,1000,758.863585
-347.80497,1000,786.025835
-418.758519,1000,806.466199
-577.550173,1000,826.500792
-602.205636,1000,846.553763
-193.227445,1000,877.23547
-381.244204,1000,898.226902
-376.728979,1000,918.76416
-588.164385,1000,939.206996
-602.911901,1000,971.30056
-230.134967,1000,993.949549
-391.84603,1000,1015.676426
-388.055028,1000,1037.502224
-539.234489,1000,2976.029956
-595.123697,1000,2996.889947
-176.752846,1000,3021.158921
-381.418001,1000,3043.167566
-603.593039,1000,3075.250601
-166.569194,1000,3102.435611
-284.138641,1000,3129.548238
-521.589984,1000,3151.107388
-602.901571,1000,3181.847426
-155.482156,1000,3208.7807
-282.229837,1000,3236.838298
-536.754045,1000,3264.567718
-611.922835,1000,3295.572795
-165.363731,1000,3323.10182
-318.114681,1000,3350.01226
-523.329256,1000,3379.699799
-604.657714,1000,3410.151031
-164.995965,1000,3439.479075
-485.194522,1000,3705.211923
-474.61756,1000,3729.167217
-471.727983,1000,3761.959892
-575.26692,1000,3789.375571
-346.261325,1000,4059.66422
-51.017937,1000,4084.937778
-377.920431,1000,4117.595756
-293.65074,1000,4150.827743
-337.933637,1000,4181.019354
-468.30902,1000,4206.640483
-468.624634,1000,4237.865043
-611.432145,1000,4272.452652
-86.038222,1000,4301.041271
-68.691922,1000,4333.217031
-66.610533,1000,4360.702539
-299.488621,1000,4396.1425
-124.875921,1000,4424.832743
-56.131992,1000,4450.27998
-25.51851,1000,4478.990006
-130.225827,1000,4514.632656
-296.573055,1000,4551.17947
-203.029734,1000,4578.206614
-19.36307,1000,4813.323378
-41.008973,1000,4850.028552
-205.06286,1000,4880.618584
-344.538229,1000,4907.691799
-512.533082,1000,4937.117222
-92.338297,1000,4979.278717
-365.120768,1000,5012.670951
-161.56457,1000,5045.200709
-40.190542,1000,5076.457763
-41.500628,1000,5115.200653
-63.555154,1000,5351.345229
-284.039139,1000,5382.176888
-356.311075,1000,5419.007511
-392.070416,1000,5458.173236
-16.144471,1000,5492.509503
-10.987139,1000,5529.629112
-212.398259,1000,5562.850169
-131.777297,1000,5602.067793
-9.874557,1000,5636.016568
-15.628295,1000,5673.650848
-29.362631,1000,5712.177311
-76.975027,1000,5752.163898
-3.624458,1000,5788.876896
-160.266035,1000,6065.154293
-136.459834,1000,6099.53578
-379.131717,1000,6139.058876
-598.655358,1000,6180.505916
-97.812067,1000,6217.64737
-120.778908,1000,6257.286898
-21.096017,1000,6290.93103
-22.300532,1000,6336.163525
-29.958404,1000,6376.782997
-239.512678,1000,6411.718888
-153.63517,1000,6446.161014
-201.545695,1000,6488.933245
-99.685009,1000,6529.154482
-19.741288,1000,6563.748616
-25.361076,1000,6603.016851
-10.2328,1000,6648.321507
5.464268,384,6679.961785
-6.184468,1000,6717.554132
-4.524349,329,6741.826762
-22.227728,1000,6780.115404
-148.045858,1000,6831.874349
-508.562604,1000,6868.217978
-1.618159,1000,6907.022224
-144.577927,1000,6953.55168
-505.127408,1000,6999.331354
-442.537786,1000,7038.339058
-543.557311,1000,7079.615232
-54.022614,1000,7120.565328
-47.552125,1000,7166.216562
-38.00781,1000,7208.11592
-490.723455,1000,7253.532044
-3.758206,1000,7290.4824
-70.27775,1000,7344.379082
-512.53018,1000,7385.297209
-439.646169,1000,7428.498348
-461.146299,1000,7466.460832
-478.141038,1000,7512.616107
-473.593027,1000,7560.032793
-2.212042,1000,7598.724421
-4.185932,1000,7640.591325
-389.521612,1000,7684.250875
-398.530734,1000,7729.282353
-504.182638,1000,7768.935933
-482.781345,1000,7811.851893
-494.987191,1000,7852.81484
-374.774542,1000,7910.678212
-446.579599,1000,7954.517776
-308.210448,1000,8000.037729
-1.916971,1000,8041.445496
-19.157491,1000,9167.707331
-446.644207,1000,9212.057309
-500.627703,1000,9265.143245
-4.444583,1000,9517.617686
-46.891635,1000,9566.787942
-467.554381,1000,9615.465276
-223.116098,1000,9657.630887
-410.878586,1000,9706.018493
-104.085388,1000,9755.204837
-545.383478,1000,9796.242465
-605.163366,1000,9840.908307
-398.112114,1000,9881.822416
-244.47316,1000,9937.254264
-135.898585,1000,9977.955495
-216.426333,1000,10027.588657
-305.307757,1000,10260.102158
-348.155004,1000,10310.603001
-87.295336,1000,10353.69359
-1.567604,1000,10595.868727
-195.268907,1000,10642.519001
-458.170908,1000,10693.905361
-503.016003,1000,10737.964095
-4.692762,1000,10782.934057
-292.693274,1000,10831.505316
-417.890735,1000,10886.265015
-474.619707,1000,10930.048892
-2.846681,1000,10976.10527
-171.175346,1000,11024.34404
-248.403489,1000,11068.454046
-344.979837,1000,11121.380071
-346.998012,1000,11169.894514
-5.438694,1000,11214.495381
-111.65968,1000,11265.379002
-475.824918,1000,11322.115267
-203.175231,1000,11365.100763
-10.736823,1000,11575.71212
-234.238733,1000,11621.638469
-273.732853,1000,11676.146721
-78.499002,1000,11719.256791
-282.239908,1000,11761.253019
-306.537375,1000,11816.539865
-105.092978,1000,11872.353845
-257.73937,1000,11921.086494
-326.239397,1000,12148.815972
-124.932488,1000,12200.118703
-197.741632,1000,12252.478985
-311.735318,1000,12299.889088
-85.294593,1000,12354.82503
-205.816441,1000,12405.365173
-263.392097,1000,12461.406694
-282.39234,1000,12509.29805
-331.402655,1000,12731.927348
-372.969704,1000,12789.999818
-6.251202,1000,12857.122847
-102.472702,1000,12903.642874
-335.04386,1000,12955.118402
-442.13095,1000,13004.013512
-50.146481,1000,13064.486117
-223.744695,1000,13111.501247
-325.739993,1000,13162.257793
-134.268997,1000,13213.992266
-264.241702,1000,13271.770936
-335.240879,1000,13317.576771
-106.320711,1000,13363.845967
-217.745039,1000,13585.125499
-392.743245,1000,13641.635029
-137.363518,1000,13689.573568
-311.740858,1000,13745.494949
-416.740445,1000,13797.065356
-102.98434,1000,13851.274075
-296.739745,1000,14075.853997
-338.742942,1000,14129.102262
-130.911327,1000,14189.530399
-277.741398,1000,14240.358839
-346.743274,1000,14295.301487
-122.47737,1000,14356.557077
-269.239562,1000,14406.016169
-401.239561,1000,14454.419432
-5.773348,1000,14515.701056
-399.514814,1000,14568.689554
-243.678351,1000,14618.676714
-388.919872,1000,14668.240003
-435.25899,1000,14723.514144
-308.837036,1000,14777.658152
-496.540332,1000,14827.006613
-484.037664,1000,14883.641029
-396.978315,1000,14944.926661
-168.325976,1000,14995.265957
-95.500922,1000,15048.617025
-434.582378,1000,15273.81651
-182.33415,1000,15334.15299
-479.57973,1000,15389.443246
-61.728449,1000,15452.014595
-279.246048,1000,15500.526619
-375.240808,1000,15558.914819
-130.864172,1000,15763.054374
-243.748362,1000,15819.195572
-256.74948,1000,15873.15529
-364.747661,1000,15939.199598
-147.82337,1000,15996.08308
-210.238913,1000,16049.987946
-338.245682,1000,16110.388464
-395.746176,1000,16177.86167
-113.779623,1000,16229.15401
-198.742896,1000,16283.957336
-386.734074,1000,16337.646494
-108.962135,1000,16407.879677
-242.745982,1000,16461.02246
-307.243398,1000,16516.322018
-390.743879,1000,16696.168843
-159.41092,1000,16762.208583
-250.75118,1000,16819.153801
-284.747724,1000,16867.010636
-357.247102,1000,16925.150637
-143.370119,1000,17115.665768
-227.243045,1000,17183.431515
-306.250184,1000,17235.897874
-369.748382,1000,17293.402683
-138.989747,1000,17347.819067
-219.741402,1000,17414.045127
-256.247786,1000,17469.857397
-368.74687,1000,17521.487492
-142.580472,1000,17579.468222
-240.247942,1000,17637.151818
-305.250772,1000,17702.257828
-405.745183,1000,17764.837648
-120.373756,1000,17826.202469
-206.740324,1000,17894.419541
-255.742843,1000,17952.079684
-365.248281,1000,18017.646729
-418.746199,1000,18080.217829
-158.289428,1000,18146.379256
-240.247485,1000,18203.310569
-269.245669,1000,18256.520389
-391.249011,1000,18317.008067
-419.751484,1000,19221.094352
-151.154065,1000,19290.274169
