#{"t_start": 1648970096.6237607, "env_id": "NavOmnibase-v1"}
r,l,t
-177.312463,1000,23.180552
-317.429477,1000,43.826932
-303.344546,514,56.19386
-249.767274,1000,77.995612
-333.067745,877,108.579747
-346.096844,930,129.194139
-306.011319,540,141.721581
-302.559434,504,152.40259
-227.171347,1000,174.782232
-318.242228,859,205.54118
-340.835005,888,224.561259
-321.355221,688,240.62912
-302.171357,510,252.566682
-168.817611,1000,274.049183
-346.929153,1000,307.079924
-306.289077,536,320.151903
-303.476273,506,331.878051
-213.628824,1000,354.290676
-336.059706,884,373.745269
-337.2842,847,392.024246
-317.05931,642,417.070831
-302.058686,500,429.307069
-162.08617,1000,451.593157
-351.875778,996,473.656231
-302.038006,504,485.301025
-255.533763,765,514.270767
-253.976079,504,526.040438
-131.477594,1000,547.782923
-313.769504,1000,570.614708
-305.573999,529,583.272919
-304.988061,510,595.639009
-255.617887,784,623.857348
-253.944647,500,636.808147
-156.210768,1000,658.823527
-342.590157,949,679.598159
-341.673741,884,699.08511
-302.3845,500,711.550178
-201.801302,1000,745.232408
-341.267566,980,766.471987
-341.491203,886,786.888415
-303.577953,504,799.6005
-205.642232,1000,832.70514
-327.009054,912,853.813128
-348.856158,958,875.859826
-303.978082,509,888.645626
-89.791514,1000,911.321376
-351.369585,982,942.962134
-301.562339,503,955.537832
-256.650091,992,976.85483
-254.416478,559,990.56111
-254.060359,517,1002.796968
-253.529178,527,1014.87029
-255.045281,510,1037.728375
-254.701439,508,1049.665014
-142.008132,1000,1071.575269
-326.75179,598,1085.347275
-327.836521,609,1100.212731
-255.579258,760,1116.708435
-246.192683,1000,1150.733819
-330.568447,880,1171.012772
-336.590984,843,1190.3396
-311.980218,599,1204.939775
-303.880935,520,1216.988701
-236.189798,1000,1251.572621
-331.520794,1000,1275.107228
-344.220169,917,1295.786746
-302.846776,507,1308.788264
-241.5201,1000,1332.77222
-314.654022,928,1364.842884
-321.142842,696,1380.852156
-329.196844,764,1398.568093
-305.120147,522,1412.098533
-186.70904,1000,1434.590827
-307.033483,826,1465.448631
-328.981552,779,1484.195397
-328.353268,755,1500.686733
-303.390742,516,1514.056267
-203.752563,1000,1536.492646
-324.321553,914,1557.482051
-331.429273,799,1586.712248
-327.564195,745,1603.660309
-304.353472,505,1616.708059
-90.772797,1000,1639.204049
-291.09772,1000,1661.820961
-315.107365,621,1688.988104
-301.912368,503,1700.662197
-150.856984,1000,1723.960703
-305.415782,1000,1746.538579
-327.236783,749,1764.364339
-303.952816,501,1787.543937
-99.24032,1000,1810.049748
-291.282172,1000,1833.248063
-328.756,781,1852.177591
-313.095843,613,1866.784695
-321.879643,697,1895.007405
-304.233024,500,1908.079715
-25.684937,1000,1932.13582
-40.107583,524,1945.474516
7.443588,729,1963.586003
-2.727967,1000,1986.645361
-96.907499,1000,2023.304533
-256.025263,944,2047.384958
-328.312817,1000,2074.239872
-315.682627,577,2090.769543
-315.611884,552,2104.980064
-301.410239,513,2129.981495
-281.102162,631,2144.356687
-73.403487,784,2165.453579
-310.057917,640,2182.314602
-178.031159,1000,2205.277879
-324.062755,637,2219.551745
-320.865963,728,2248.844266
-340.394633,767,2270.405238
-314.60739,533,2285.140874
-332.587553,741,2302.432788
-326.399312,694,2319.805444
-289.004819,526,2331.963403
-296.859203,544,2356.207304
-47.777581,1000,2381.195349
-255.57705,813,2403.885148
-256.221714,762,2422.536809
-254.513475,529,2435.729607
-305.234379,512,2449.456475
-342.608811,765,2478.236265
-320.625696,585,2491.144822
-214.981053,1000,2517.959491
-252.579541,1000,2542.684719
-254.301263,500,2556.677516
-204.272404,1000,2592.124877
-302.591397,571,2605.563042
-262.429244,542,2619.628132
-261.750252,951,2644.168128
-254.243568,500,2659.029799
-256.868595,879,2693.197338
-322.03174,762,2710.742574
-275.114572,688,2727.515329
-329.213222,696,2747.504426
-330.850786,725,2764.738706
-253.955292,503,2777.788227
-253.957754,503,2790.658012
-256.286719,766,2820.380122
-254.674429,607,2834.693769
-255.355469,626,2851.693397
-255.811094,681,2870.27562
-256.880058,904,2893.387365
-264.352431,765,2922.994635
-254.779752,644,2939.419973
-296.37713,586,2954.110125
-317.507199,579,2970.711715
-313.799856,518,2986.302132
-310.934101,505,3001.625509
-326.046493,673,3018.504364
-319.308768,668,3046.609139
-312.475478,1000,3069.092952
-302.23337,871,3092.910115
-255.009453,615,3109.713993
-254.174762,512,3125.36662
-199.830992,1000,3162.746331
-254.239858,500,3177.04711
-255.271686,661,3195.460048
-254.156259,510,3211.555022
-255.010557,586,3228.246087
-255.734061,675,3246.179427
-231.860423,1000,3273.546176
-254.012105,514,3301.182941
-319.489768,683,3320.833394
-304.625553,500,3336.196651
-307.227697,700,3356.835586
-268.499577,879,3380.476533
-253.966714,506,3396.144142
-168.646081,1000,3433.428524
-257.131983,836,3453.145061
