#{"t_start": 1649628699.0319767, "env_id": "NavOmnibase-v1"}
r,l,t
-263.375788,1000,14.405555
-3.78678,1000,31.327948
-6.824469,1000,46.179658
-9.75797,1000,61.706251
-44.621931,1000,77.20645
-117.869525,1000,92.694238
-15.895761,1000,109.586526
-11.590152,1000,125.576175
-51.292294,1000,141.53418
-39.045988,1000,158.018711
-106.673891,1000,174.116525
-351.856318,1000,192.419246
-59.1046,1000,210.412776
-81.364915,1000,225.892663
-60.396689,1000,242.34688
-118.739596,1000,258.986526
-227.145528,1000,275.35934
-48.850714,1000,297.4361
-119.633025,1000,315.304425
-161.184279,1000,333.083154
-338.010708,1000,349.950954
-366.110669,1000,367.844426
-87.984909,1000,392.114525
-204.727857,1000,409.962462
-429.242549,1000,427.318721
-449.927383,1000,445.874014
-104.875483,1000,464.556525
-192.14771,1000,489.671448
-123.612841,1000,514.057915
-355.62658,1000,533.552483
-569.179941,1000,553.737145
-83.55391,1000,573.380484
-191.729732,1000,594.058692
-528.722389,1000,622.483678
-588.134228,1000,641.845592
-141.964085,1000,661.843234
-495.360929,1000,683.164781
-480.314144,1000,704.667774
-332.643287,1000,731.580756
-507.808234,1000,751.961774
-493.908921,1000,771.303472
-521.127464,1000,791.448513
-590.822464,1000,813.521788
-447.476426,1000,842.32736
-507.88392,1000,864.649681
-175.91417,1000,886.367127
-389.92154,1000,908.333389
-605.128604,1000,929.834704
-212.022634,1000,961.721207
-192.797883,1000,994.025965
-350.249496,1000,1017.731103
-605.322886,1000,1040.667277
-190.839373,1000,1063.120141
-461.886636,1000,1085.693013
-214.044089,1000,1119.453199
-425.310505,1000,1142.938753
-605.784925,1000,1166.843807
-211.253031,1000,1192.157738
-447.477003,1000,1217.070917
-150.870438,1000,1253.63215
-347.442246,1000,1277.468824
-605.705882,1000,1302.45741
-224.20861,1000,1327.791792
-448.425245,1000,1352.551358
-282.006313,1000,1387.887229
-449.675255,1000,1410.420922
-604.087022,1000,1434.336486
-236.035802,1000,1459.923055
-434.772773,1000,1485.89159
-293.27893,1000,1528.069067
-404.429925,1000,1554.298136
-607.552432,1000,1581.058192
-274.504724,1000,1605.493292
-506.619426,1000,1632.574066
-255.630476,1000,1674.770854
-202.571559,1000,1715.337771
-331.690671,1000,1741.019892
-436.26291,1000,1767.149213
-603.66176,1000,1795.319656
-244.447087,1000,1823.08724
-172.817255,1000,1863.933376
-476.201943,1000,1892.787648
-605.48842,1000,1920.898186
-290.853265,1000,1948.840887
-513.295423,1000,1976.780015
-342.806954,1000,2018.337823
-301.185381,1000,2047.885262
-406.608914,1000,2078.445451
-607.946565,1000,2108.514895
-227.622045,1000,2136.70496
-166.853984,1000,2184.725547
-403.579602,1000,2211.91907
-605.69197,1000,2244.925549
-202.949775,1000,2275.891523
-315.512298,1000,2308.240624
-151.878068,1000,2355.559603
-370.471647,1000,2385.83662
-607.121012,1000,2417.08414
-158.832557,1000,2447.044617
-377.381583,1000,2479.696085
-189.066246,1000,2525.403873
-383.157309,1000,2556.221542
-603.905008,1000,2587.412649
-221.362295,1000,2616.72938
-458.011888,1000,2645.201242
-317.666744,1000,2699.870975
-406.953888,1000,2732.947621
-608.29776,1000,2763.864872
-248.255676,1000,2798.307421
-577.469612,1000,2834.399344
-241.684222,1000,2888.813282
-219.31583,1000,2938.863567
-377.759,1000,2973.812782
-606.158962,1000,3004.456882
-155.764419,1000,3039.336874
-406.780754,1000,3075.03009
-192.385126,1000,3130.676105
-395.059095,1000,3165.454862
-607.84163,1000,3198.121996
-238.440756,1000,3232.034383
-445.763489,1000,3267.083019
-184.762698,1000,3323.492835
-305.75438,1000,3360.052213
-441.712789,1000,3395.023789
-605.268946,1000,3429.301547
-370.755351,1000,3462.768195
-280.045706,1000,3521.439291
-435.530573,1000,3557.39984
-604.200445,1000,3591.681876
-209.604779,1000,3626.34448
-484.220749,1000,3663.120494
-218.51754,1000,3724.719834
-406.624338,1000,3761.734782
-608.198734,1000,3798.212502
-191.524583,1000,3833.11173
-426.367499,1000,3867.269606
-361.306955,1000,3926.127563
-540.429448,1000,3963.956247
-607.947502,1000,4001.394036
-268.641226,1000,4040.032235
-393.603261,1000,4076.129407
-197.154692,1000,4135.917543
-493.677337,1000,4176.311908
-606.692381,1000,4209.698255
-191.564242,1000,4249.443935
-295.600892,1000,4285.959507
-271.086035,1000,4346.812287
-473.287366,1000,4388.96435
-603.702153,1000,4424.821208
-174.171624,1000,4466.453753
-387.769999,1000,4505.013929
-288.150799,1000,4571.257062
-206.106759,1000,4640.533343
-466.097522,1000,4681.085812
-599.530748,1000,4720.964301
-195.147349,1000,4760.856576
-315.843015,1000,4800.440846
-226.889217,1000,4871.289039
-536.471829,1000,4909.859286
-606.718913,1000,4948.361204
-358.72291,1000,4989.960635
-599.642604,1000,5027.580281
-400.312457,1000,5089.768214
-588.295024,1000,5129.618226
-604.395114,1000,5173.19857
-275.24576,1000,5212.658202
-469.712855,1000,5253.129267
-217.341653,1000,5323.171626
-457.272814,1000,5361.281454
-604.803164,1000,5403.194595
-288.756209,1000,5439.810231
-555.874724,1000,5483.456615
-128.778194,1000,5554.365227
-405.32574,1000,5598.373091
-605.146446,1000,5641.780663
-327.686879,1000,5682.801846
-597.905071,1000,5726.552423
-297.071876,1000,5800.17748
-363.273761,1000,5844.867267
-606.315158,1000,5887.804812
-261.690105,1000,5930.529542
-387.927219,1000,5974.279261
-165.348593,1000,6042.02
-532.290971,1000,6085.88796
-604.198849,1000,6126.54054
-104.532399,1000,6168.186025
-507.692359,1000,6210.565364
-538.205412,1000,6291.627513
-613.044329,1000,6332.357124
-544.61551,1000,6373.329202
-612.915249,1000,6420.517177
-545.42392,1000,6469.430827
-222.286606,1000,6540.222956
-507.680799,1000,6579.50037
-429.39726,1000,6622.724493
-507.407742,1000,6665.63719
-309.574283,1000,6705.832994
-219.579513,1000,6776.967131
-256.298097,1000,6903.848202
-370.596824,1000,6946.250688
-605.657553,1000,6994.282979
-221.970855,1000,7039.611658
-292.092463,1000,7081.894735
-241.236584,1000,7157.504384
-483.849864,1000,7257.072635
-606.204695,1000,7304.594542
-214.079212,1000,7348.075257
-353.907103,1000,7390.749068
-272.970812,1000,7466.297538
-369.230643,1000,7511.809885
-604.379784,1000,7558.029504
-288.393661,1000,7601.655657
-275.644577,1000,7645.305953
-209.925756,1000,7726.564381
-524.631652,1000,7777.707002
-604.171968,1000,7827.834773
-105.787707,1000,7870.842365
-293.503663,1000,7917.681782
-198.782948,1000,8086.128054
-366.812814,1000,8132.072338
-433.54501,1000,8186.622147
-603.136271,1000,8234.395308
-186.79744,1000,8276.937593
-246.852581,1000,8505.898993
-475.000888,1000,8548.119055
-599.228191,1000,8598.912548
-221.134663,1000,8654.296324
-578.539884,1000,8697.19988
-223.184678,1000,8925.171108
-385.480716,1000,8977.926899
-604.10964,1000,9027.749553
-199.212715,1000,9074.885355
-373.941704,1000,9129.272942
-244.602873,1000,9209.547504
-389.713199,1000,9250.122972
-603.617484,1000,9294.897213
-222.916489,1000,9340.832088
-449.365958,1000,9395.020287
-192.037647,1000,9612.832211
-388.492247,1000,9668.540292
-605.856763,1000,9715.022014
-241.638257,1000,9763.122452
-454.779043,1000,9810.993244
-193.724478,1000,9891.414523
-494.243937,1000,9941.125953
-608.072909,1000,9992.48402
-274.459246,1000,10041.066185
-370.422161,1000,10093.165534
-198.9453,1000,10326.984872
-207.487881,1000,10454.422191
-307.923372,1000,10500.776506
-482.68345,1000,10555.037507
-606.436055,1000,10606.452807
-167.101341,1000,10652.192142
-158.965329,1000,10741.823629
-394.296946,1000,10796.913294
-602.002195,1000,10852.438715
-234.808042,1000,10905.921628
-347.325595,1000,10968.958329
-192.413496,1000,11302.186417
-338.867397,1000,11441.46749
-370.178692,1000,11495.496603
-605.647886,1000,11543.24105
-219.09555,1000,11592.305262
-221.108241,1000,11804.027773
-303.424741,1000,11857.346905
-359.755126,1000,11999.364625
-604.389495,1000,12058.395016
9.063996,390,12140.031781
-167.655165,1000,12215.372829
-585.721476,1000,12276.425857
-602.191664,1000,12327.648514
-299.537689,1000,12374.667613
-594.686404,1000,12423.724716
-170.741934,1000,12502.63033
-561.099371,1000,12634.008203
-605.904966,1000,12689.311965
-215.084447,1000,12743.851247
-272.746285,1000,12806.630115
-243.085824,1000,12901.873825
-601.853641,1000,13033.47769
-194.775771,1000,13083.287916
-577.83954,1000,13135.942284
-602.258153,1000,13185.19135
-95.951623,1000,13505.113681
-237.872984,1000,13560.966925
-507.751377,1000,13607.845866
9.302073,324,13688.599939
-139.3527,1000,13736.860397
-161.195135,1000,13814.01003
-507.74088,1000,13865.293995
-167.605958,1000,13917.649804
-573.58921,1000,13971.636348
-36.483048,1000,14020.883934
-510.421406,1000,14109.316552
-507.819774,1000,14158.091452
-435.218969,1000,14208.842242
-507.542759,1000,14266.346169
-482.624834,1000,14313.176204
-287.613755,1000,14420.124655
-370.645632,1000,14471.844339
-555.06284,1000,14612.160644
-281.059388,1000,14675.883981
-466.771487,1000,14734.364899
-157.276097,1000,14818.903302
-451.875014,1000,14866.344973
-483.415664,1000,14913.225077
-316.864867,1000,14960.370656
-319.03413,1000,15005.355026
-195.870596,1000,15121.589569
-274.01523,1000,15242.461171
-590.002662,1000,15387.909964
-133.605049,1000,15448.794531
-407.016413,1000,15492.788437
-480.025483,1000,15538.529607
-563.957548,1000,15711.590073
-379.215909,1000,15766.142427
-592.336044,1000,15913.703855
-506.430501,1000,15970.852625
-593.991999,1000,16019.424331
-151.517769,1000,16342.746561
-307.115827,1000,16389.014439
-577.989861,1000,16440.154172
-444.836111,1000,16493.720875
-3.882926,1000,16643.948393
-33.468993,1000,16739.835742
-153.84665,1000,16802.480046
-507.434766,1000,16953.585814
-29.440129,1000,17014.834315
-354.25307,1000,17063.260291
-350.753953,1000,17389.451066
-615.320249,1000,17536.029855
-507.942777,1000,17595.121159
-556.184141,1000,17641.006955
-512.348669,1000,17683.535861
-36.578257,104,17756.622467
-506.895748,1000,17809.241539
-352.80206,1000,17860.404573
-581.860257,1000,17908.011277
-497.150901,1000,17955.224545
-285.969871,1000,18269.47024
-603.164536,1000,18318.824378
-243.040376,1000,18372.947036
-263.067419,1000,18419.655857
-456.580435,1000,18471.751209
-31.137859,1000,18655.11444
-507.721176,1000,18722.157861
-571.084164,1000,18775.015275
-390.018575,1000,18928.806697
-392.073792,1000,18987.627345
-318.815607,1000,19083.449715
-571.888738,1000,19142.344745
-30.78521,1000,19191.255133
-53.36957,1000,19242.740199
-52.302021,1000,19298.679423
-222.971778,1000,19756.501681
-318.295553,1000,19816.82458
-460.248139,1000,19877.77404
-0.995728,1000,19932.413229
0.0,1000,19978.763703
-409.554325,1000,20308.499821
-487.36073,1000,20353.588492
-524.825829,1000,20408.22715
-138.335474,1000,20461.94212
-601.941936,1000,20511.65957
-340.973569,1000,20612.59574
-439.942014,1000,20661.245234
-409.762382,1000,20813.795856
-575.606115,1000,20869.736752
-21.275491,1000,20931.95334
-147.538825,1000,21104.656947
-428.651174,1000,21149.758439
-442.429098,1000,21194.282004
-475.652972,1000,21246.742383
-197.034754,1000,21294.496239
