#{"t_start": 1649118228.0831661, "env_id": "NavOmnibase-v1"}
r,l,t
-265.387157,1000,17.453361
-4.232072,1000,34.672641
-3.287289,1000,50.807081
-4.349591,1000,66.151351
3.985453,754,78.993085
-5.196521,1000,96.274658
-22.771273,1000,458.367229
-33.887667,1000,479.036651
-72.836126,1000,498.507004
-128.576729,1000,518.920958
-317.667934,1000,539.152956
-87.125555,1000,1000.335972
-124.881736,1000,1135.335035
-39.466228,771,1153.390022
-1.749162,1000,1174.115623
-156.097649,1000,1197.296942
-139.01968,1000,1492.423783
-6.831138,1000,1520.347909
-201.134854,1000,1544.471974
-75.112011,670,1563.970546
-58.780018,1000,1589.591943
-406.715103,1000,1741.695724
-226.140432,1000,1773.94076
-487.27056,1000,1798.900798
-288.040248,1000,1824.339602
-308.552076,1000,1853.475619
-414.555775,1000,1879.117601
-1.918231,1000,2028.152369
0.0,1000,2053.249444
-23.369293,1000,2079.186459
-68.522962,1000,2105.419761
-461.630359,1000,2133.394155
-520.793197,1000,2173.87197
-484.609089,1000,2200.871771
-551.125131,1000,2229.294659
-542.885557,1000,2263.079484
-456.827984,1000,2289.520946
-299.484142,1000,2332.412137
-452.365481,1000,2375.033683
-611.504929,1000,2406.598094
-259.359299,1000,2438.685539
-95.965055,1000,2469.276782
-480.076488,1000,2502.534451
-580.425008,1000,2550.055599
-401.011237,1000,2580.499057
-588.73099,1000,2607.848041
-570.734139,1000,2638.262164
-488.577004,1000,2667.247731
-332.174799,1000,3084.040886
-386.518756,1000,3225.717868
-506.557607,1000,3256.906548
-0.03387,1000,3290.275676
-9.906023,1000,3323.701325
-416.568395,1000,3732.078752
-495.573816,1000,3881.543692
-600.472199,1000,3913.555536
-494.684527,1000,3946.966286
-544.44541,1000,3979.824254
-258.043631,1000,4033.955437
-312.281185,1000,4068.775372
-281.809853,1000,4204.548988
-469.625177,1000,4241.93356
-508.125698,1000,4280.309819
-63.622185,1000,4336.595214
-246.610206,1000,4390.159906
-475.155833,1000,4426.564503
-345.380743,1000,4466.598824
-477.41712,1000,4502.146267
-574.707532,1000,4545.153515
-205.005694,1000,4604.333813
-196.55493,1000,4650.349913
-405.523562,1000,4686.892589
-448.993806,1000,4726.221182
-6.829165,1000,4762.09279
-311.266774,1000,4824.119673
-477.942986,1000,4864.730511
-579.879065,1000,4903.450551
-274.473668,1000,4947.38161
-613.513182,1000,5097.462226
-475.922435,1000,5266.569543
-573.714344,1000,5304.936157
-481.376384,1000,5432.418639
-342.404954,1000,5472.562438
-191.942612,1000,5517.083901
-396.128969,1000,5675.034474
-523.543584,1000,5717.153179
-557.513346,1000,5859.217963
-506.557268,1000,5899.107407
-577.391191,1000,5939.235786
-82.063522,1000,6293.455242
-27.892452,1000,6336.605702
-494.640542,1000,6474.445853
-9.373698,1000,6516.416069
-320.931151,1000,6560.935477
-316.239402,1000,6908.927811
-506.114185,1000,6951.849056
-582.232555,1000,6995.415922
-578.562502,1000,7042.014406
-490.721103,1000,7180.302433
-284.262437,1000,7251.274079
-267.020294,1000,7414.692243
-68.049731,1000,7461.74882
-261.164014,1000,7607.27335
-445.009481,1000,7651.864037
-237.741989,1000,7799.304305
-301.800872,1000,7865.164919
-546.665282,1000,7905.595252
-509.411276,1000,7948.119307
-483.483816,1000,8082.695381
-507.322858,1000,8125.814981
-229.09105,1000,8204.403192
-331.694201,1000,8252.630409
-112.05384,1000,8302.084274
-415.208036,1000,8456.592841
-461.447297,1000,8506.799367
-448.376461,1000,8586.816996
-507.427052,1000,8728.659448
-390.052765,1000,8776.823758
-382.701996,1000,8823.868046
-141.418551,1000,8975.118922
-292.510233,1000,9051.454839
-439.400553,1000,9211.415297
-467.527863,1000,9259.014385
-154.720343,1000,9312.206321
